"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"40","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506674505437184",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","TeeJeiOjwang",98,TRUE,FALSE,NA,NA
"41","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506674497019908",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","OldThug2",98,TRUE,FALSE,NA,NA
"42","RT @Georgemungez: #SupremeCourtDecides Everyone today defines justice differently, because we think our candidate should have won.. Let Ken…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506673733685249",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Charles82155624",65,TRUE,FALSE,NA,NA
"43","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506673729458176",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SoiClement",98,TRUE,FALSE,NA,NA
"44","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506673683374081",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","mulili_grammer",98,TRUE,FALSE,NA,NA
"45","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:51,FALSE,NA,"903506673628786688",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","smallwig_sacco",98,TRUE,FALSE,NA,NA
"46","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:51,FALSE,NA,"903506673226186752",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Nkirote12",98,TRUE,FALSE,NA,NA
"47","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:51,FALSE,NA,"903506673217785857",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","mugenda3",98,TRUE,FALSE,NA,NA
"48","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:51,FALSE,NA,"903506673196818436",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MurangaNoWanaTu",98,TRUE,FALSE,NA,NA
"49","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:51,FALSE,NA,"903506673184231426",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tujenge_kenya",98,TRUE,FALSE,NA,NA
